,VGG16_0,VGG16_1,VGG16_2,VGG16_3,ResNet50_0,ResNet50_1,ResNet50_2,ResNet50_3,InceptionV3_0,InceptionV3_1,InceptionV3_2,InceptionV3_3,Xception_0,Xception_1,Xception_2,Xception_3,yTrueTrn
0,1.6801914e-06,4.4127529999999996e-05,0.99944836,0.00050588895,1.7998018e-05,0.00048035602,0.9977271999999999,0.001774456,0.00030944636000000003,0.004058051,0.9953851999999999,0.00024723526,3.0767605e-05,0.0006603231,0.99922717,8.170836e-05,2
1,0.9708684999999999,0.00010665099399999999,5.4465863e-07,0.029024335,0.99992347,3.1656975000000004e-05,1.1537612999999998e-05,3.3306962e-05,0.9995129,0.00043252992,1.781674e-05,3.6790716000000004e-05,0.9999995,3.2227544000000003e-07,3.9071697e-08,3.0207182999999996e-08,0
2,0.0037382906,0.0023068972,3.7051682999999996e-05,0.9939177,0.00014421702,0.0005431044,0.0019441039,0.9973685999999999,0.024414303,0.017274344,0.0018490693,0.9564623,0.0004327701,5.838766400000001e-06,8.94518e-05,0.99947196,3
3,1.5245804999999998e-06,1.773571e-08,8.3293904e-05,0.9999151,0.001061434,6.194224000000001e-06,0.00021665404999999998,0.99871576,0.0060668057,0.0025642454000000003,0.008567369,0.9828015,2.0132325000000002e-07,5.002639e-07,0.00013561128999999998,0.9998636000000001,3
4,0.6210125,0.37553045,0.0023196756,0.0011373254,0.03374988,0.9423454,0.017839544,0.0060652219999999995,0.06630775,0.9031800999999999,0.008876813,0.021635285,0.00048362152000000003,0.9994430000000001,2.8885339e-05,4.45033e-05,1
5,0.0009946668,0.32797068,0.6544873000000001,0.016547378,4.043657e-06,0.0026454101,0.9943329,0.0030176040999999997,2.07553e-05,0.0074898195,0.99234504,0.00014444125,1.2905581e-06,8.351523e-05,0.99991274,2.4507543999999997e-06,2
6,0.00017159651999999997,0.07860336,0.0020163164000000003,0.91920877,0.0006736228999999999,3.93192e-05,9.713985999999999e-05,0.9991899,6.4886604e-05,0.0001335364,0.0019159638,0.99788564,1.0600106e-07,2.9175240000000002e-08,6.0139237e-06,0.9999939,3
7,0.00047673535000000006,0.037867405,0.961367,0.00028884978,0.00010065788,0.00047696522,0.9992393,0.00018305755,0.0037178088000000002,0.052963324000000006,0.9356488000000002,0.007670018000000001,9.819673e-05,0.00017721439,0.9996338,9.079764000000001e-05,2
8,1.0593361e-05,0.0018233947,0.9968969999999999,0.0012690945,0.0007271051,0.0004912428,0.9965642,0.002217573,1.7183020000000003e-05,0.0110107185,0.9881511000000001,0.00082107016,2.936381e-06,3.0863812e-05,0.99996567,4.7641237e-07,2
9,0.012801779,0.97105443,0.0014205293,0.014723275,0.00020071203000000001,0.9985726,3.4148245e-05,0.0011925544,0.038857218,0.9546684000000001,0.00021490833999999998,0.0062594526,6.910236e-06,0.99999297,9.160102999999999e-08,9.039558000000002e-09,1
